Keyword,Count
Artificial Intelligence,79
Computers and the Internet,40
Google Inc,12
Social Media,11
Regulation and Deregulation of Industry,11
Books and Literature,10
Facial Recognition Software,10
Research,10
Facebook Inc,9
Clearview AI Inc,8
